Account ,Followers,Notes,Other
agathachidu,14k,Other,Health coach
maddielymburner,278k,Plant based,Blogger
healthyliciousvegan,12k,Vegan,Blogger
pickuplimes,614k,Plant based,Dietician
sweetpotatosoul,178k,Vegan,Blogger
the_buddhist_chef,305k,Vegan,author
purelykaylie,191k,Plant based,Blogger
pascalbaudar,70k,Other,Food artist and author
plantifullybased,224k,Plant based,Blogger
georginaburgess,59k,Vegan,Blogger
agipsyinthekitchen,118k,Other,Blogger
thecuriouschickpea,68k,Vegan,Blogger
munchin.withmar,14k,Other,Blogger
chefpetergordon,24k,Other,Chef
chocolatecoveredkatie,467k,Vegan,Blogger
minimalistbaker,2M,Other,Blogger
shutthekaleup,352k,Other,Blogger
choosingchia,312k,Other,Blogger
lizmoody,136k,Other,Journalist
cleanfooddirtycity,109k,Other,Blogger
lonijane,382k,Plant based,Author
marie.reginato,66.9k,Other,Speaker and author
nomnompaleo,482k,Paleo,Author
rachlmansfield,419k,Other,"Author, investor"
sproutedkitchen,235k,Other,Author
mynewroots,384k,Plant based,Nutritionist
thedelicious,243k,Other,Blogger
talinegabriel,480k,Other,Blogger
joybauer,169k,Other,"Nutritionist, author"